# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A2ML1	unnamed (+5514)
ADGRG6	unnamed (-22403)
ADGRL2	unnamed (-796004), unnamed (-131132), unnamed (+43471), unnamed (+376553)
ADGRL3	unnamed (-267122)
ADIG	unnamed (-16520)
ADK	unnamed (-166)
ADORA3	unnamed (-89389)
ADPRHL1	unnamed (-15171), unnamed (+17454)
ADRA1A	unnamed (+223472)
ADRA2A	unnamed (+134392)
ADRB1	unnamed (-60825)
ADRB2	unnamed (+79538), unnamed (+87841), unnamed (+159321), unnamed (+177031)
ADRM1	unnamed (+59702)
ADSS	unnamed (+148875), unnamed (+287803)
AEBP2	unnamed (-292903)
AES	unnamed (+7730)
AFAP1	unnamed (-25190), unnamed (-16458), unnamed (+75888), unnamed (+134198)
AFAP1L1	unnamed (+27999)
AFAP1L2	unnamed (-250593)
AFDN	unnamed (-175849)
AFF4	unnamed (-8225)
AFG3L2	unnamed (-407)
AFMID	unnamed (-9)
AFTPH	unnamed (+51823)
AGAP1	unnamed (+91196)
AGAP3	unnamed (+27138)
AGAP9	unnamed (-468354), unnamed (-464008), unnamed (-371118), unnamed (-14903)
AGPAT1	unnamed (+3791)
AGPAT5	unnamed (-131301), unnamed (-109120), unnamed (-59161)
AGPS	unnamed (-67110)
AGRN	unnamed (+4585)
AGTPBP1	unnamed (+140953)
AGXT	unnamed (+25142)
AHCTF1	unnamed (-55964), unnamed (+113447)
AHCYL2	unnamed (+128183)
AHNAK	unnamed (-14047), unnamed (-6776), unnamed (+66046)
AIRE	unnamed (+8223)
AJAP1	unnamed (-576645), unnamed (-351734), unnamed (+20672), unnamed (+749635)
AK3	unnamed (+27317)
AK4	unnamed (-164496)
AKAIN1	unnamed (+686578)
AKAP12	unnamed (-357714)
AKAP9	unnamed (+23423), unnamed (+135842)
AKNA	unnamed (+44533)
AKR1E2	unnamed (-801195)
AKT3	unnamed (-81291)
ALCAM	unnamed (-917454), unnamed (-254191)
ALDH1A1	unnamed (-170848), unnamed (+398590)
ALDH1A3	unnamed (-3205)
ALDH1L1	unnamed (-86243)
ALDH4A1	unnamed (+9596)
ALG10	unnamed (-434278), unnamed (+906689)
ALG12	unnamed (+16096), unnamed (+16527)
ALG14	unnamed (+53452)
ALG1L	unnamed (+11028), unnamed (+18240)
ALKAL2	unnamed (-100990), unnamed (-31144)
ALKBH7	unnamed (+823), unnamed (+1060)
ALPL	unnamed (+2436)
ALPP	unnamed (+7415)
ALPPL2	unnamed (-20894)
AMOT	unnamed (-379657), unnamed (-34661)
AMOTL1	unnamed (-163692), unnamed (+145715)
AMOTL2	unnamed (+786), unnamed (+1581), unnamed (+11093), unnamed (+17594), unnamed (+41604), unnamed (+48358), unnamed (+61978)
AMPH	unnamed (+276964)
AMZ1	unnamed (+141149)
ANAPC13	unnamed (+32)
ANGEL1	unnamed (-140689)
ANGPT2	unnamed (-85787), unnamed (-35828), unnamed (-13647), unnamed (-3930), unnamed (+4297)
ANGPTL5	unnamed (-94811), unnamed (-94433)
ANK1	unnamed (-69627)
ANKFY1	unnamed (+15802), unnamed (+33533)
ANKH	unnamed (-149697)
ANKHD1	unnamed (-660)
ANKHD1-EIF4EBP3	unnamed (-754)
ANKLE2	unnamed (-56202)
ANKMY1	unnamed (+100083)
ANKRD1	unnamed (-152)
ANKRD23	unnamed (+11020)
ANKRD30B	unnamed (+523710)
ANKRD46	unnamed (+81312), unnamed (+143866)
ANKRD50	unnamed (+560759), unnamed (+693671), unnamed (+861861)
ANKRD53	unnamed (-41314)
ANKRD9	unnamed (-74143), unnamed (-60715)
ANLN	unnamed (-75), unnamed (+125505), unnamed (+137674)
ANO1	unnamed (+112890)
ANO10	unnamed (+79159)
ANO3	unnamed (-386596)
ANO6	unnamed (+44371), unnamed (+68182), unnamed (+83161)
ANOS1	unnamed (-28358)
ANTXRL	unnamed (-182747)
ANXA1	unnamed (-33751)
ANXA2	unnamed (-46)
ANXA2R	unnamed (-62777), unnamed (-35827)
ANXA8	unnamed (+2467), unnamed (+21105), unnamed (+62746)
AOAH	unnamed (+196969), unnamed (+209138)
AOC1	unnamed (+57645)
AP1M1	unnamed (+102370)
AP2A1	unnamed (-1430), unnamed (-610)
AP2A2	unnamed (+91017), unnamed (+91938)
AP2M1	unnamed (-13162), unnamed (-11938), unnamed (-177)
AP3D1	unnamed (-3118)
AP3M1	unnamed (0), unnamed (+94485)
AP4M1	unnamed (-5)
APBA1	unnamed (-71611), unnamed (+286419)
APBA2	unnamed (+29261)
APBB1IP	unnamed (+48345)
APC	unnamed (-157866), unnamed (-152839)
APEH	unnamed (+253)
APLNR	unnamed (-55929)
APLP2	unnamed (+7017)
APOD	unnamed (-115864)
APOL1	unnamed (+76473), unnamed (+115778)
APOOL	unnamed (+40856)
APPL2	unnamed (-845676), unnamed (-797425)
AQP12A	unnamed (-3391), unnamed (+121118)
AQP9	unnamed (+251439)
ARC	unnamed (+54467)
ARFGAP3	unnamed (-153829), unnamed (-121410)
ARHGAP10	unnamed (+450826)
ARHGAP11B	unnamed (+140430)
ARHGAP12	unnamed (-35022)
ARHGAP17	unnamed (+8656)
ARHGAP18	unnamed (-8687)
ARHGAP21	unnamed (+102779)
ARHGAP22	unnamed (+138891)
ARHGAP24	unnamed (+33653), unnamed (+758830)
ARHGAP26	unnamed (+96821)
ARHGAP27	unnamed (+58213)
ARHGAP31	unnamed (+16969)
ARHGAP32	unnamed (-103822), unnamed (+48716)
ARHGAP36	unnamed (+79299)
ARHGAP39	unnamed (-82112)
ARHGAP45	unnamed (+18), unnamed (+433)
ARHGAP5	unnamed (-129073)
ARHGEF1	unnamed (+34371)
ARHGEF10	unnamed (+20398), unnamed (+49563)
ARHGEF11	unnamed (-35527)
ARHGEF12	unnamed (-8280)
ARHGEF16	unnamed (-339898), unnamed (+16029), unnamed (+93900)
ARHGEF17	unnamed (-38342), unnamed (-535), unnamed (+1058)
ARHGEF18	unnamed (+11171)
ARHGEF28	unnamed (+769219)
ARHGEF3	unnamed (+380001)
ARHGEF38	unnamed (-55818)
ARHGEF9	unnamed (+266111), unnamed (+320443)
ARID1B	unnamed (+371609), unnamed (+405612)
ARID2	unnamed (-469209), unnamed (-445398), unnamed (-430419)
ARID3A	unnamed (+30638), unnamed (+30933)
ARL1	unnamed (-574)
ARL15	unnamed (+36527)
ARL4C	unnamed (-450000), unnamed (-362820), unnamed (-189938), unnamed (-18084), unnamed (+68858), unnamed (+74188), unnamed (+85899), unnamed (+140973), unnamed (+359903)
ARL4D	unnamed (-166628), unnamed (-152342), unnamed (-147187), unnamed (+37174)
ARL8B	unnamed (-95831)
ARL9	unnamed (+25294)
ARMC1	unnamed (+611785)
ARMC2	unnamed (+64319)
ARNT	unnamed (-51)
ARNT2	unnamed (+99606)
ARPC5	unnamed (+101)
ARRB1	unnamed (-35305)
ARRDC1	unnamed (+6742)
ARRDC4	unnamed (+649099)
ART4	unnamed (+6924)
ART5	unnamed (+219498)
ASAP1	unnamed (-454122), unnamed (-214015), unnamed (-55588)
ASAP2	unnamed (-103536), unnamed (+180126)
ASAP3	unnamed (+34565)
ASB1	unnamed (+321041)
ASB13	unnamed (+89389)
ASCC3	unnamed (-387720), unnamed (-67404)
ASCL1	unnamed (+80111)
ASH1L	unnamed (+238178)
ASIC3	unnamed (-5337)
ASIP	unnamed (-35642)
ASPHD2	unnamed (-101794)
ASS1	unnamed (-99523)
ASXL3	unnamed (+112399), unnamed (+230900)
ATAD2B	unnamed (+440259)
ATF1	unnamed (+22683)
ATF6	unnamed (+205353)
ATG16L2	unnamed (+300374)
ATG5	unnamed (+206064)
ATG7	unnamed (+328313)
ATL2	unnamed (-123008)
ATOH8	unnamed (+104832)
ATP10A	unnamed (-119647), unnamed (-93768), unnamed (+104469)
ATP11A	unnamed (+155407)
ATP1A1	unnamed (+79850), unnamed (+80318)
ATP1B1	unnamed (-281164), unnamed (+8096)
ATP1B3	unnamed (+212100)
ATP2B1	unnamed (-66630), unnamed (+59775)
ATP2B2	unnamed (+40604)
ATP2B4	unnamed (-126433)
ATP2C2	unnamed (+107684)
ATP4B	unnamed (+63691)
ATP5L	unnamed (+23442), unnamed (+23859)
ATP6AP1L	unnamed (+697522)
ATP6V0E2	unnamed (+130618)
ATP6V1B1	unnamed (+1416)
ATP6V1B2	unnamed (+40380)
ATP6V1C1	unnamed (-114676)
ATP6V1E1	unnamed (-56)
ATP6V1G3	unnamed (+328692)
ATP6V1H	unnamed (+384313), unnamed (+546407)
ATP8B4	unnamed (+134640)
ATP9A	unnamed (+117778)
ATP9B	unnamed (-30606), unnamed (-30062), unnamed (+131347)
ATR	unnamed (-29950)
ATXN10	unnamed (-154749), unnamed (-150443), unnamed (+17227), unnamed (+288903)
ATXN7L1	unnamed (+100429), unnamed (+188651)
AUH	unnamed (+286474)
AXIN1	unnamed (+35679)
AXIN2	unnamed (+29983), unnamed (+31423)
AZIN1	unnamed (-41650), unnamed (+75640)
B3GALNT2	unnamed (+106628)
B3GALT5	unnamed (+79939)
B3GAT2	unnamed (-127745)
B3GLCT	unnamed (+441431)
B3GNT2	unnamed (+215532)
B3GNTL1	unnamed (+79512)
B4GALNT2	unnamed (-110367)
B4GALNT3	unnamed (+182591)
B4GALT5	unnamed (-45894), unnamed (+96282)
B9D1	unnamed (+30019)
BABAM1	unnamed (-116)
BABAM2	unnamed (-91393)
BACH2	unnamed (-72521), unnamed (+116048), unnamed (+364300)
BAG1	unnamed (+8916)
BAG3	unnamed (+14690)
BAIAP2L2	unnamed (-67551), unnamed (-67246)
BAMBI	unnamed (+314200), unnamed (+348825)
BANF2	unnamed (+235595)
BANK1	unnamed (-433466), unnamed (+163530)
BANP	unnamed (-18866)
BARHL2	unnamed (+208777), unnamed (+338170), unnamed (+691033)
BARX2	unnamed (-79920)
BATF	unnamed (-69290)
BAZ2A	unnamed (-2885)
BBS10	unnamed (+27757)
BBS5	unnamed (-85844)
BBX	unnamed (+458741), unnamed (+499915)
BCAM	unnamed (-815)
BCAR1	unnamed (-110136)
BCAR3	unnamed (+18653), unnamed (+92679), unnamed (+208528), unnamed (+261921), unnamed (+262762)
BCAS3	unnamed (+551615)
BCAT1	unnamed (+313259)
BCDIN3D	unnamed (-26077)
BCHE	unnamed (-618474)
BCL11B	unnamed (+203881)
BCL2	unnamed (+65129), unnamed (+101441), unnamed (+216152), unnamed (+231775)
BCL2L1	unnamed (+2607), unnamed (+59169)
BCL2L14	unnamed (-28692)
BCL6	unnamed (-95798)
BCL9	unnamed (-37300)
BCL9L	unnamed (+441)
BCO1	unnamed (-94278)
BCOR	unnamed (+523153)
BCR	unnamed (+221152)
BDH1	unnamed (+183485)
BDP1	unnamed (+109891), unnamed (+116516), unnamed (+122493)
BEAN1	unnamed (+51879)
BEND6	unnamed (+25295)
BEX3	unnamed (-13720)
BFSP2	unnamed (+130624)
BHLHE40	unnamed (-455594), unnamed (+47273)
BHLHE41	unnamed (+33929)
BHMG1	unnamed (+13732)
BICC1	unnamed (+343581)
BICD2	unnamed (-40036)
BID	unnamed (-34163)
BIN1	unnamed (+193617)
BLID	unnamed (-519027)
BMF	unnamed (+53152)
BMP10	unnamed (-18309)
BMP2	unnamed (+346288)
BMP8A	unnamed (-277351)
BMP8B	unnamed (-41167)
BNC2	unnamed (+2676), unnamed (+502542)
BOD1	unnamed (-28999), unnamed (+80496), unnamed (+80933)
BOK	unnamed (-41717), unnamed (-12825), unnamed (+31986)
BPGM	unnamed (+64023), unnamed (+95644)
BRD1	unnamed (+330285)
BRD4	unnamed (+10144)
BRF1	unnamed (+19724)
BRI3	unnamed (-439)
BRINP1	unnamed (-997222)
BRMS1L	unnamed (+352241)
BRSK2	unnamed (-64412)
BRWD1	unnamed (-8061)
BSN	unnamed (-41490)
BSPH1	unnamed (+41949)
BTBD3	unnamed (+829057)
BTBD6	unnamed (+32390)
BTF3L4	unnamed (-6672)
BTG1	unnamed (+754517)
BTG3	unnamed (-192432)
BTRC	unnamed (-114268)
BUB1B	unnamed (+68512)
C10orf105	unnamed (-47422), unnamed (-39727), unnamed (+206872), unnamed (+244011)
C11orf58	unnamed (+124892)
C11orf87	unnamed (+470166)
C11orf95	unnamed (-34444)
C12orf49	unnamed (+10217)
C12orf66	unnamed (+241829)
C14orf132	unnamed (-158887)
C14orf166	unnamed (+24832)
C14orf180	unnamed (-408175), unnamed (-364371)
C17orf99	unnamed (-5797)
C18orf25	unnamed (+100029)
C19orf12	unnamed (+43337)
C1D	unnamed (+50277), unnamed (+390603)
C1GALT1	unnamed (-5353)
C1QTNF3-AMACR	unnamed (-398634), unnamed (-398218)
C1QTNF6	unnamed (-1607)
C1QTNF9	unnamed (+33613)
C1orf105	unnamed (-527721)
C1orf159	unnamed (-14697)
C1orf174	unnamed (-403026), unnamed (-178115), unnamed (-61), unnamed (+30290)
C1orf68	unnamed (+1201)
C21orf59	unnamed (-92453)
C21orf91	unnamed (+14110)
C2orf40	unnamed (-128865)
C2orf49	unnamed (+53901)
C2orf71	unnamed (+40856), unnamed (+69216)
C2orf82	unnamed (+125623)
C2orf88	unnamed (-558)
C3orf20	unnamed (-13986)
C3orf52	unnamed (+43166)
C4BPA	unnamed (+4897)
C4orf19	unnamed (-142790)
C4orf26	unnamed (+5945)
C4orf3	unnamed (+43379)
C4orf33	unnamed (-107012)
C5orf15	unnamed (+42824)
C5orf38	unnamed (+27574), unnamed (+571977), unnamed (+640362)
C8orf37	unnamed (+43428)
C8orf4	unnamed (+328990), unnamed (+667402)
C8orf44	unnamed (+79207)
C9orf3	unnamed (+59946), unnamed (+111367)
C9orf47	unnamed (-245089)
C9orf72	unnamed (-761423)
CA1	unnamed (+73551)
CA10	unnamed (-551896), unnamed (-519620), unnamed (+409493)
CA13	unnamed (+59936)
CA2	unnamed (+189974), unnamed (+197350), unnamed (+279176)
CA5A	unnamed (-14636)
CA5B	unnamed (-62861)
CA8	unnamed (+310685)
CAB39L	unnamed (+39875)
CABLES1	unnamed (-195987), unnamed (+287303)
CABS1	unnamed (-53400)
CACNA1B	unnamed (-208326), unnamed (+71452)
CACNA1C	unnamed (+202378), unnamed (+233137)
CACNA1E	unnamed (-365956), unnamed (+245011)
CACNA1S	unnamed (+26440)
CACNB2	unnamed (-45650)
CACNG4	unnamed (-12589)
CACNG5	unnamed (+117204)
CACUL1	unnamed (-205155)
CADM1	unnamed (+356588)
CAGE1	unnamed (-25326)
CALB2	unnamed (+25785)
CALCOCO1	unnamed (-117990)
CALD1	unnamed (-68796), unnamed (-37175)
CALML3	unnamed (+53180)
CAMK1D	unnamed (+266328), unnamed (+317463)
CAMK1G	unnamed (-195639)
CAMKMT	unnamed (+362156)
CAMLG	unnamed (-45)
CAMSAP2	unnamed (+76952)
CAMTA1	unnamed (-60445), unnamed (-224), unnamed (+318761), unnamed (+362578)
CAP2	unnamed (+25205)
CAPN15	unnamed (+33966)
CAPN8	unnamed (+106941)
CAPRIN1	unnamed (-10898)
CAPS	unnamed (+54649)
CAPZA2	unnamed (-81418)
CARMIL1	unnamed (-106459)
CASC3	unnamed (+49), unnamed (+28215)
CASP14	unnamed (+23797)
CASP6	unnamed (+70127)
CASP9	unnamed (-2514)
CASQ2	unnamed (+50738), unnamed (+53929)
CAST	unnamed (-24863)
CAVIN2	unnamed (-20124)
CBFA2T3	unnamed (-98671)
CBL	unnamed (-3544)
CBLN2	unnamed (-131174)
CBR4	unnamed (+198744), unnamed (+206340)
CBSL	unnamed (+97273), unnamed (+98462)
CBWD6	unnamed (-40424), unnamed (-32072)
CBX4	unnamed (-185118), unnamed (-76959), unnamed (-65101), unnamed (-64279)
CBX5	unnamed (+113)
CBX7	unnamed (-62159), unnamed (-60262), unnamed (-23601), unnamed (-22306)
CCAR1	unnamed (-89231)
CCAR2	unnamed (-22421), unnamed (-7242)
CCBE1	unnamed (-11673)
CCDC102B	unnamed (+58284), unnamed (+58514)
CCDC146	unnamed (-123683)
CCDC148	unnamed (-1417)
CCDC151	unnamed (-175)
CCDC174	unnamed (-34146), unnamed (+9349)
CCDC182	unnamed (+451969)
CCDC185	unnamed (+165376)
CCDC187	unnamed (+12806)
CCDC25	unnamed (+136256)
CCDC28A	unnamed (-127053)
CCDC3	unnamed (+334752), unnamed (+385887)
CCDC40	unnamed (+23608)
CCDC6	unnamed (+41464)
CCDC62	unnamed (+34753)
CCDC71L	unnamed (+29511)
CCDC80	unnamed (-90050), unnamed (-12286)
CCDC85C	unnamed (+23912)
CCDC90B	unnamed (+216)
CCIN	unnamed (+5560), unnamed (+6012)
CCKBR	unnamed (-1081)
CCL22	unnamed (-65937)
CCL25	unnamed (+60168)
CCM2	unnamed (-27737)
CCNA2	unnamed (+218)
CCND1	unnamed (-518126), unnamed (-509330), unnamed (-347027), unnamed (-220306), unnamed (-213531), unnamed (-205597), unnamed (-203794), unnamed (-191237), unnamed (-143819), unnamed (-143166), unnamed (-64882), unnamed (-4431)
CCNDBP1	unnamed (-19218)
CCNE1	unnamed (+29743)
CCNK	unnamed (+98705)
CCNY	unnamed (-92323)
CCNYL1	unnamed (+9312)
CCR1	unnamed (+44795), unnamed (+84507)
CCR4	unnamed (+44711)
CCSER2	unnamed (-102)
CCT8L2	unnamed (+189506), unnamed (+231822), unnamed (+232992), unnamed (+238089), unnamed (+239065), unnamed (+239980), unnamed (+245543), unnamed (+247508), unnamed (+903330)
CCZ1B	unnamed (-350492)
CD164	unnamed (+210061)
CD200R1L	unnamed (+114631), unnamed (+192395)
CD274	unnamed (-3966)
CD28	unnamed (+52601)
CD34	unnamed (-273139), unnamed (-196823)
CD47	unnamed (+68123), unnamed (+109297)
CD55	unnamed (-212373), unnamed (-101)
CD58	unnamed (+116854), unnamed (+117322)
CD7	unnamed (+24697)
CD96	unnamed (-426701), unnamed (-220094), unnamed (-63133)
CDADC1	unnamed (+125951)
CDC16	unnamed (+17332)
CDC37L1	unnamed (+34435)
CDC42BPA	unnamed (-111339), unnamed (-98249)
CDC42EP3	unnamed (-130435), unnamed (-66462)
CDC5L	unnamed (+323510)
CDC7	unnamed (+236137)
CDCA7	unnamed (+447817)
CDCP1	unnamed (-53710)
CDH10	unnamed (+448819)
CDH11	unnamed (+20945)
CDH17	unnamed (+120020)
CDH23	unnamed (+78848), unnamed (+115987)
CDH26	unnamed (+542396)
CDH4	unnamed (-751603), unnamed (-206303), unnamed (+22669), unnamed (+77003), unnamed (+79220), unnamed (+138115), unnamed (+468116), unnamed (+503160)
CDH5	unnamed (-88270), unnamed (-12003), unnamed (-4676)
CDK10	unnamed (-16474)
CDK12	unnamed (+23803)
CDK13	unnamed (-229267)
CDK16	unnamed (-24525)
CDK19	unnamed (+303750), unnamed (+305450)
CDK4	unnamed (+41)
CDK5	unnamed (-9937)
CDK5RAP2	unnamed (+213469)
CDKAL1	unnamed (+747016)
CDKL2	unnamed (+68516)
CDKL4	unnamed (-92043), unnamed (+49010)
CDKN1C	unnamed (+138071), unnamed (+413962)
CDKN2AIPNL	unnamed (-94390)
CDKN2C	unnamed (-307)
CDON	unnamed (-56)
CDR1	unnamed (+60567)
CDRT15L2	unnamed (+451912)
CDV3	unnamed (-43111)
CDYL	unnamed (-484861), unnamed (-194232), unnamed (-155386)
CEACAM1	unnamed (+13125)
CEACAM8	unnamed (-116816), unnamed (-116214)
CEBPB	unnamed (+66161), unnamed (+249899), unnamed (+258228)
CEBPD	unnamed (-24789), unnamed (+69685)
CEBPG	unnamed (+85103)
CELA1	unnamed (-22697)
CELF2	unnamed (+266526)
CELF3	unnamed (+5758)
CELF5	unnamed (+60969)
CELSR2	unnamed (+14492)
CELSR3	unnamed (-842)
CEMIP	unnamed (-29647)
CENPH	unnamed (+20199)
CENPX	unnamed (-3261)
CEP104	unnamed (+35985)
CEP170	unnamed (+430401)
CEP19	unnamed (+17533)
CEP192	unnamed (+270933)
CEP295NL	unnamed (+19710)
CEP41	unnamed (+22811)
CEP57L1	unnamed (+77230)
CEP72	unnamed (-79861), unnamed (+23652)
CEP76	unnamed (-27726)
CEP95	unnamed (+6)
CERK	unnamed (+102762)
CERS5	unnamed (-75454), unnamed (-34718)
CETN3	unnamed (+983677)
CFAP126	unnamed (-22374)
CFAP206	unnamed (+36684)
CFAP45	unnamed (-16679), unnamed (-16096), unnamed (-10295), unnamed (-396)
CFAP46	unnamed (+78720), unnamed (+120327)
CFDP1	unnamed (+57342)
CFHR5	unnamed (+14643)
CFL2	unnamed (+63618)
CGN	unnamed (+4887)
CHAC1	unnamed (+78853)
CHAC2	unnamed (-312494), unnamed (-261756)
CHAMP1	unnamed (+39683)
CHAT	unnamed (+128042)
CHCHD6	unnamed (+146840)
CHCHD7	unnamed (+78062)
CHD1L	unnamed (+261428)
CHD9	unnamed (+364178)
CHFR	unnamed (+21110)
CHIC1	unnamed (+315440), unnamed (+555489)
CHL1	unnamed (-186074)
CHM	unnamed (+548006)
CHML	unnamed (+2968)
CHMP1A	unnamed (-12349)
CHMP1B	unnamed (+8630)
CHMP2B	unnamed (-101798)
CHMP4B	unnamed (+97259)
CHMP4C	unnamed (+46678)
CHMP6	unnamed (-357240), unnamed (-6973)
CHORDC1	unnamed (-993859), unnamed (+44064)
CHPF	unnamed (-14898), unnamed (-149)
CHRD	unnamed (+58128)
CHRFAM7A	unnamed (+220452)
CHRM3	unnamed (-987247), unnamed (-11705)
CHRM5	unnamed (-599595)
CHRNA2	unnamed (+122844)
CHRNA7	unnamed (-53176)
CHRNA9	unnamed (-96310), unnamed (-70574), unnamed (-70259), unnamed (+67877)
CHST11	unnamed (+31411), unnamed (+342721)
CHST13	unnamed (+15546)
CHST15	unnamed (-133547)
CHST2	unnamed (+55260), unnamed (+397987)
CHSY1	unnamed (+97974)
CIB2	unnamed (+29813)
CIC	unnamed (-15781)
CITED2	unnamed (-687826), unnamed (-603907), unnamed (-390635), unnamed (-374638), unnamed (-213343), unnamed (-212305), unnamed (-148927), unnamed (-142300), unnamed (+6198)
CITED4	unnamed (-4201), unnamed (-3792)
CKMT2	unnamed (-25552)
CKS1B	unnamed (-1934)
CKS2	unnamed (-273)
CLASP1	unnamed (+170635), unnamed (+325965)
CLCN4	unnamed (-138946)
CLDN17	unnamed (+19605)
CLDN20	unnamed (-331973), unnamed (-331652)
CLDN22	unnamed (+24870)
CLDN23	unnamed (-293120), unnamed (-258972), unnamed (-90349)
CLDN9	unnamed (-2471)
CLEC18A	unnamed (-32735)
CLEC19A	unnamed (-110043), unnamed (+108132), unnamed (+110075)
CLEC1A	unnamed (-2760)
CLEC20A	unnamed (+229045), unnamed (+265810), unnamed (+323751), unnamed (+369947)
CLEC2L	unnamed (+79614)
CLIC4	unnamed (-20351)
CLIC5	unnamed (+130900), unnamed (+686906)
CLIC6	unnamed (+105616)
CLIP2	unnamed (-9666)
CLLU1	unnamed (+304527)
CLMP	unnamed (-139879)
CLNK	unnamed (-89852), unnamed (+60816)
CLOCK	unnamed (+104618)
CLPTM1L	unnamed (-36490), unnamed (+11485), unnamed (+17430)
CLRN3	unnamed (+95411)
CLSTN2	unnamed (+451784)
CLTA	unnamed (-15983), unnamed (-15531), unnamed (-160)
CMAS	unnamed (+229896)
CMIP	unnamed (+26228), unnamed (+66427), unnamed (+155324)
CMPK1	unnamed (+69034)
CMPK2	unnamed (+105506)
CMSS1	unnamed (+122854)
CNDP1	unnamed (+82557)
CNGA1	unnamed (+54668)
CNGA3	unnamed (+58710)
CNGB1	unnamed (+162925)
CNN3	unnamed (-92215)
CNNM3	unnamed (+16764)
CNOT3	unnamed (-7567)
CNPY1	unnamed (-81546)
CNTFR	unnamed (+30519)
CNTN1	unnamed (+145366)
CNTNAP3B	unnamed (+899627), unnamed (+907979)
CNTNAP4	unnamed (+859109)
COA7	unnamed (-10071)
COG1	unnamed (+31932)
COL11A1	unnamed (+166940)
COL17A1	unnamed (+49940)
COL18A1	unnamed (-18375)
COL22A1	unnamed (-345980)
COL23A1	unnamed (+4947), unnamed (+232415), unnamed (+316096)
COL26A1	unnamed (+16269)
COL4A2	unnamed (+27132), unnamed (+40344), unnamed (+112229), unnamed (+141142), unnamed (+178480), unnamed (+179070)
COL5A1	unnamed (-38886), unnamed (+186850)
COL5A2	unnamed (-199453)
COL6A1	unnamed (-183825), unnamed (+73268)
COL6A2	unnamed (-43092)
COL6A5	unnamed (+50748)
COL6A6	unnamed (-164070)
COL8A1	unnamed (-713321)
COMMD2	unnamed (-31675)
COMMD3	unnamed (-70239)
COMT	unnamed (-60270), unnamed (-59825)
COMTD1	unnamed (+10384)
COPS4	unnamed (-189)
COQ2	unnamed (+76906)
COQ5	unnamed (+33153)
CORO1C	unnamed (-130471), unnamed (-130090), unnamed (-29208)
CORO2A	unnamed (+12855), unnamed (+26534)
COX4I2	unnamed (+25841), unnamed (+82403)
COX6C	unnamed (+428724)
COX7A1	unnamed (-30218)
COX7A2L	unnamed (+26235)
