name	length	WIBR3_naive_TSC	AN_STB	AN_EVT	AN_naive_TSC	AN_naive	AN_primed_TSC	AN_primed	H9_STB	H9_capacitated_rep1	H9_capacitated_rep2	H9_EVT	H9_naive_TSC	H9_naive	H9_primed_StemPro	H9_primed_TSC	H9_primed
ABCA8	11243	1	1	2	3	8	24	3	2	3	1	4	0	6	4	2	0
ABCA9	9139	1	1	0	0	5	166	0	1	0	7	1	0	4	1	4	0
ABCA9-AS1	2990	0	1	1	0	1	5	0	0	2	5	1	0	2	8	0	8
ABCB10	4256	371	102	171	274	175	102	73	84	124	77	347	166	228	110	145	59
ABCB10P1	2181	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ABCB10P3	2166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	2184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	5151	0	0	3	0	0	1	1	0	1	0	0	0	0	0	1	0
ABCB1	5806	29	351	21	17	19	0	30	121	9	23	4	23	3	9	58	24
ABCB4	7494	9	12	11	16	2	34	9	5	34	8	17	4	0	38	59	45
ABCB5	9257	0	0	1	0	5	6	3	0	2	1	0	0	2	2	0	0
ABCB6	5205	131	20	29	141	73	90	74	26	47	44	70	93	56	66	67	75
ABCB7	2970	1165	474	643	1390	1700	916	1592	519	3551	1631	498	900	2105	2193	2061	2016
ABCB8	9336	1274	981	526	818	3309	433	404	801	459	517	747	907	2150	463	432	299
ABCB9	13291	260	63	54	156	42	152	53	61	67	65	208	182	62	45	137	35
ABCC10	8083	571	201	513	461	788	522	428	155	351	410	1287	335	875	416	457	339
ABCC11	7245	4	8	6	1	1	7	3	3	7	3	10	4	0	4	7	1
ABCC12	7456	2	4	0	0	7	6	5	0	9	12	0	0	15	0	2	0
ABCC13	10722	0	0	1	0	276	0	8	1	35	25	0	0	202	0	2	0
ABCC1	7575	610	52	241	519	402	389	597	61	497	348	532	364	409	774	444	658
ABCC2	6232	609	44	28	279	170	54	24	90	42	95	31	356	370	38	24	17
ABCC3	9614	66	229	122	82	22	9	17	142	18	18	260	62	4	36	5	36
ABCC4	7819	224	9	15	218	32	162	170	5	125	130	16	142	124	138	683	220
ABCC5	11441	3455	81	430	2598	1058	874	1313	154	1830	1531	400	2379	1225	1314	2162	1109
ABCC5-AS1	469	4	0	0	2	2	0	0	0	1	4	0	5	0	0	1	0
ABCC6	7569	41	3	11	25	7	78	23	2	31	14	11	26	3	37	45	36
ABCC6P1	3431	0	0	0	0	0	16	3	1	6	7	1	2	0	6	6	7
ABCC6P2	1077	1	0	0	0	2	10	2	0	2	3	0	0	0	6	2	3
ABCC8	6778	0	1	0	0	2	0	75	4	4	17	1	0	0	53	161	63
ABCC9	11616	0	0	0	0	2	86	0	0	0	0	2	0	3	0	91	1
ABCD1	4233	255	291	183	268	114	4	35	154	53	73	674	313	121	17	6	16
ABCD1P2	1601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	605	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0
ABCD1P4	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	6238	0	0	0	0	9	172	11	0	0	14	0	0	5	1	180	0
ABCD3	7519	2219	802	653	2016	707	1314	857	772	1022	784	544	1396	773	880	2038	911
ABCD4	8769	2194	1069	1945	2434	2076	2649	3939	726	3106	2360	1630	1323	1853	4839	4193	3595
ABCE1	6265	2745	830	1537	1658	1488	1728	2717	795	2887	1957	1203	1457	1888	2070	2267	2576
ABCF1	4523	6604	4462	4299	4628	3533	3290	6476	3931	6264	4324	5915	5100	4320	5777	5894	5472
ABCF2	4448	5924	2819	2457	3543	3470	3023	3773	2169	4334	3980	1866	3185	3732	2762	4242	2774
ABCF2P1	1867	3	2	3	0	29	1	3	1	7	13	2	2	8	3	3	0
ABCF2P2	296	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
ABCF3	5207	4859	3541	3138	3831	3856	3550	3633	3029	4053	3284	3127	3384	4031	2680	3659	2845
ABCG1	6121	102	52	25	66	42	6	33	22	30	36	35	181	63	63	4	41
ABCG2	4848	12236	8133	12547	6641	87	24	29	8719	174	408	12981	6187	1060	41	103	34
ABCG4	6271	15	7	6	22	19	44	23	0	49	21	9	10	15	55	92	52
ABCG5	3720	0	0	2	2	3	3	1	1	1	3	2	3	4	7	28	0
ABCG8	2665	0	1	0	1	0	0	0	2	0	0	2	0	0	0	0	0
ABHD10	3021	1504	900	771	1183	484	1641	897	755	971	613	716	983	617	1174	3011	1303
ABHD11	2289	3289	1472	2836	2812	390	574	607	1185	692	346	2810	2090	627	934	578	539
ABHD11-AS1	662	6	38	18	16	11	4	1	47	1	8	15	8	3	5	0	3
ABHD12	3429	641	209	373	666	172	222	232	247	225	175	1496	584	296	326	296	220
ABHD12B	4444	103	22	28	211	2852	3	280	15	1086	820	118	73	2163	248	7	158
ABHD13	5338	457	216	203	427	163	453	256	174	271	246	189	343	221	325	524	302
ABHD1	4630	10	5	8	13	24	8	18	4	17	20	10	12	13	80	34	59
ABHD14A	2378	74	101	87	44	142	126	67	77	68	51	100	31	179	105	251	109
ABHD14A-ACY1	4761	2	0	0	1	0	0	2	0	1	2	4	0	3	4	0	5
ABHD14B	3161	631	2430	422	342	402	429	158	1687	232	132	459	372	586	315	250	307
ABHD15	3592	35	15	21	92	39	39	5	8	12	6	106	59	45	17	69	20
ABHD15-AS1	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	4153	65	58	44	56	67	76	69	39	81	80	29	30	57	78	135	55
ABHD16B	1491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	6139	13	8	3	7	7	5	6	3	3	0	8	9	10	9	13	3
ABHD17AP1	933	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ABHD17AP3	1137	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ABHD17AP4	909	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD17AP5	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP6	1044	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ABHD17AP7	595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	2959	145	46	37	127	145	142	307	23	380	272	79	105	107	394	345	226
ABHD17C	3627	174	216	198	164	82	72	118	197	76	73	666	87	102	165	171	117
ABHD18	6491	585	619	381	537	343	245	426	463	364	214	346	486	396	522	382	468
ABHD2	10345	615	113	196	470	460	624	361	79	363	316	315	352	368	368	1141	507
ABHD3	4366	217	98	143	218	95	102	56	113	88	87	231	188	127	106	371	61
ABHD4	4070	1077	2034	726	1085	1279	1705	1664	2057	1589	1636	674	870	834	1121	818	1404
ABHD5	3172	1578	1751	658	1097	888	266	471	1448	777	710	604	1314	727	445	388	293
ABHD6	3589	297	30	11	241	314	93	130	20	66	79	57	130	279	90	184	156
ABHD8	2210	25	35	26	23	34	20	13	23	7	13	17	9	8	15	8	4
ABI1	4218	2914	1814	2354	2224	1618	1738	1428	2036	2028	1714	1850	1814	1709	1478	2044	1449
ABI1P1	1120	0	0	0	0	1	0	0	0	0	1	0	0	4	1	0	0
ABI2	23331	1370	246	575	1423	652	3222	2445	217	1703	945	630	864	814	2552	6974	3503
ABI3	2456	3	0	3	1	2	15	58	4	122	84	3	1	5	119	2	68
ABI3BP	10978	19	12	5	12	143	3	6	8	13	3	10	1	63	3	17	5
ABL1	6276	169	175	149	216	329	365	530	109	506	436	266	160	306	533	462	469
ABL2	13257	999	951	505	711	176	352	434	781	528	382	1137	853	405	453	1376	680
ABLIM1	9871	430	232	16	395	738	1952	2219	210	2593	1887	22	199	1056	2477	962	2376
ABLIM2	6049	29	38	168	462	24	86	11	57	19	6	431	190	22	12	332	25
ABLIM3	7225	252	89	85	379	6	4	17	111	14	16	109	289	11	18	64	31
ABO	6354	31	51	12	26	14	0	0	24	1	1	14	21	12	16	0	13
ABR	11709	1274	213	512	1427	1085	747	374	179	323	257	1195	707	923	439	830	485
ABRA	2755	15	0	4	9	0	3	6	2	1	2	10	3	2	4	15	3
ABRACL	1200	2661	696	2099	2169	2032	2673	7417	753	6660	4105	3317	1541	3828	6461	3520	6534
ABRAXAS1	7777	81	22	92	86	93	260	185	24	172	105	66	65	161	292	336	306
ABRAXAS2	2992	848	1074	788	614	684	567	599	994	636	608	647	649	729	557	701	621
ABT1	2949	5344	2105	2900	3902	3247	3331	3386	1808	3602	2526	2593	3727	3652	3014	4568	2775
ABT1P1	821	0	0	0	0	2	0	0	0	0	5	2	0	0	0	0	0
ABTB1	6149	410	797	1021	466	170	139	145	721	202	168	1294	338	137	239	15	100
ABTB2	4973	415	358	311	414	50	46	122	300	56	117	439	586	231	21	18	62
AC000032.1	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000035.1	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000036.1	2030	0	0	0	0	0	0	0	4	0	0	7	4	5	0	1	0
AC000041.1	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000041.2	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000058.1	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000061.1	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000067.1	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.1	2097	51	40	45	19	23	52	77	21	52	60	37	24	36	50	82	60
AC000068.2	460	2	0	0	0	2	0	1	0	2	3	0	0	2	1	2	4
AC000068.3	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000077.1	953	1	0	0	0	11	0	3	1	0	2	1	2	4	0	0	0
AC000078.1	682	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0
AC000081.1	297	0	0	1	0	28	0	0	0	5	16	0	0	13	1	1	0
AC000089.1	801	3	4	12	9	4	4	6	2	13	7	8	2	4	6	5	3
AC000095.1	874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.2	768	0	0	0	0	1	0	2	0	2	0	0	0	0	2	6	1
AC000099.1	1912	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1
AC000111.1	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.2	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.3	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.1	1589	0	2	0	2	0	0	0	1	0	0	3	0	2	1	0	1
AC000123.1	516	2	3	3	2	0	1	0	1	0	0	6	0	0	0	1	2
AC000123.2	461	4	4	3	2	2	0	0	2	0	0	1	0	0	0	0	1
AC000123.3	4975	16	11	12	4	0	6	4	9	6	3	40	8	4	5	21	2
AC000124.1	957	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000362.1	425	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
AC000367.1	1766	0	0	0	0	0	0	2	0	5	11	5	0	0	2	22	5
AC000372.1	646	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC000374.1	1745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.1	3585	1	0	1	3	0	2	0	0	0	1	2	0	0	0	1	1
AC001226.1	539	1	0	2	1	1	2	1	0	2	0	1	2	0	1	1	5
AC001226.2	6145	32	2	5	20	4	2	12	6	10	6	28	12	7	9	17	8
AC002044.1	158	15	3	3	3	0	2	0	3	1	0	3	4	0	0	3	2
AC002044.2	970	68	3	5	39	0	8	0	5	4	4	53	35	18	2	32	0
AC002044.3	541	15	0	4	1	1	0	0	0	0	0	15	7	2	0	7	0
AC002056.1	760	9	4	3	3	9	5	11	3	10	4	5	5	8	9	17	13
AC002056.2	284	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
AC002059.1	477	16	14	0	7	8	8	3	4	0	3	0	4	1	2	6	1
AC002064.1	733	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
AC002064.2	289	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC002064.3	346	2	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1
AC002066.1	1213	13	0	2	3	0	0	0	2	0	3	6	6	2	0	0	0
AC002069.1	1159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.2	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002070.1	1013	0	0	0	1	2	1	0	0	1	3	0	0	0	2	1	7
AC002075.1	676	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	2
AC002075.2	252	4	7	3	2	9	1	5	5	9	6	4	2	14	7	12	4
AC002076.1	527	2	0	0	0	4	5	0	0	3	0	1	0	2	1	6	5
AC002076.2	122	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002090.1	2138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002091.1	557	0	1	3	1	18	0	6	5	25	9	1	1	50	42	0	22
AC002091.2	402	2	0	0	3	19	0	13	0	25	9	2	1	49	35	0	16
AC002094.1	1050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.2	1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.3	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.4	307	2	0	0	2	0	1	3	0	2	1	2	0	2	1	2	5
AC002094.5	629	10	6	2	9	2	7	10	2	18	10	6	2	6	10	32	5
AC002101.1	1990	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC002115.1	568	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
AC002115.2	603	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3
AC002116.1	1130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.2	643	28	16	20	19	10	19	29	9	21	8	19	18	6	25	30	34
AC002127.1	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002127.2	792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002128.1	1016	23	10	9	11	5	17	13	12	16	12	33	2	6	14	27	6
AC002128.2	618	13	0	3	13	11	0	13	1	18	12	2	13	7	14	1	14
AC002306.1	937	35	0	8	12	35	6	2	2	11	3	38	8	66	16	24	5
AC002310.1	1827	26	32	28	48	27	57	107	28	87	39	12	22	39	117	124	136
AC002310.2	1918	5	0	0	1	5	0	2	0	4	3	2	2	2	2	3	0
AC002310.3	723	3	0	2	0	1	0	6	0	3	0	0	0	3	2	3	6
AC002310.4	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.5	1515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.6	1377	2	1	0	0	0	1	3	2	0	0	0	0	1	0	5	3
AC002347.1	541	1	3	6	0	1	3	2	5	2	0	17	5	0	1	3	8
AC002347.2	171	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0
AC002350.1	375	11	1	1	6	5	2	4	2	3	3	5	9	7	7	7	3
AC002350.2	1828	57	15	18	25	41	32	22	9	31	29	31	20	70	21	64	15
AC002351.1	594	2	0	0	1	4	0	6	0	1	9	0	0	0	3	0	8
AC002366.1	1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC002367.1	405	0	0	0	1	50	4	1	0	4	36	0	1	30	1	3	1
AC002368.1	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002375.1	581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002378.1	298	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC002381.1	280	2	0	1	3	162	0	1	0	10	122	6	0	78	0	0	1
AC002383.1	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002384.1	3542	18	16	3	5	0	0	0	2	3	1	0	0	1	0	0	0
AC002384.2	790	0	0	0	4	0	0	0	2	2	1	0	0	0	0	0	2
AC002386.1	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
AC002398.1	427	0	1	1	0	2	3	1	1	1	3	2	0	1	2	5	3
AC002398.2	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002400.1	726	3	1	2	4	0	2	2	0	6	2	19	2	2	6	4	3
AC002401.1	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002401.2	430	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002401.3	440	0	0	0	2	0	0	3	0	3	0	1	0	1	0	1	3
AC002401.4	583	7	1	1	6	0	1	0	1	0	1	1	6	0	0	0	0
AC002407.1	3863	0	0	0	3	0	34	58	0	40	18	0	0	0	40	92	43
AC002428.1	771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002428.2	414	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AC002429.1	148	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC002429.2	4025	12	10	2	6	1	6	8	2	3	9	1	4	5	15	7	4
AC002451.1	1043	0	1	0	0	0	0	0	0	0	0	2	0	0	1	2	0
AC002451.2	2398	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
AC002454.1	667	0	0	0	0	1	7	16	0	23	12	0	0	0	7	13	2
AC002456.1	616	0	1	0	0	0	38	5	0	9	17	0	0	0	1	34	3
AC002456.2	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002460.1	479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002463.1	1188	1	0	1	0	32	0	0	0	11	17	9	0	71	0	0	0
AC002464.1	1530	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0
AC002465.1	349	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AC002467.1	984	31	36	26	19	19	56	79	23	78	42	34	24	34	88	62	90
AC002470.1	395	6	25	7	2	2	16	6	12	6	6	6	2	10	14	27	36
AC002472.1	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002472.2	958	0	0	2	1	0	0	1	0	1	3	1	1	3	2	0	2
AC002472.3	621	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC002472.4	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002480.1	1282	6	10	1	8	2	1	0	1	1	0	0	5	0	0	0	1
AC002480.2	2432	136	8	5	46	27	65	2	7	35	67	4	26	46	5	0	10
AC002480.3	557	27	8	2	30	2	14	15	1	4	18	2	14	10	7	0	4
AC002480.4	2592	27	99	15	123	26	1	5	8	8	12	5	47	7	2	0	5
AC002486.1	391	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0
AC002486.2	590	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC002487.1	994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002504.1	691	0	1	0	0	7	0	0	0	0	1	0	0	2	0	0	0
AC002511.1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.2	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.3	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002519.1	2792	2	0	1	5	1	2	0	0	4	1	6	0	6	0	3	0
AC002519.2	1458	0	0	2	0	9	4	0	0	0	3	0	0	0	0	0	0
AC002524.1	547	6	1	2	2	0	3	5	1	2	4	2	2	0	5	9	5
AC002525.1	1622	0	0	0	0	0	0	0	0	1	1	0	0	0	4	3	0
AC002540.1	1349	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.1	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002543.1	1954	16	2	4	5	0	4	3	1	5	6	12	3	1	1	5	1
AC002545.1	181	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
AC002546.1	2504	9	0	29	11	12	61	60	0	42	10	41	4	18	92	179	71
AC002546.2	584	2	0	1	0	0	0	0	1	1	0	0	0	0	1	2	0
AC002550.1	1379	2	1	1	2	1	4	5	1	6	4	1	2	2	8	6	1
AC002550.2	394	11	5	2	8	4	15	13	1	8	8	4	6	2	6	30	14
AC002551.1	592	2	0	0	6	0	3	0	2	4	0	7	2	3	0	6	4
AC002553.1	802	19	12	10	15	13	2	13	1	13	14	16	5	25	10	14	26
AC002553.2	340	4	0	0	2	0	1	2	1	1	0	4	0	2	4	4	0
AC002553.3	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002553.4	331	13	20	4	5	0	4	4	3	0	1	2	3	3	0	6	4
AC002558.1	803	33	1	16	21	4	13	10	3	16	13	60	12	10	11	28	13
AC002558.2	673	9	3	3	2	1	1	5	3	0	3	9	3	0	5	7	1
AC002558.3	401	3	1	0	6	3	3	5	1	6	0	8	2	5	6	13	3
AC002563.1	451	3	0	0	2	0	0	0	0	0	0	3	0	0	0	2	0
AC002984.1	448	0	0	1	2	4	0	0	0	0	1	1	0	3	0	0	0
AC002985.1	685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002985.2	957	0	3	0	3	0	4	2	0	0	0	0	0	0	4	12	5
AC002996.1	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003001.1	1135	0	0	0	0	0	0	0	0	9	4	0	0	1	0	0	1
