name	Gene	day0	day6	day12	day18
Br_RPL36A-HNRNPH2_1	RPL36A-HNRNPH2	1431.33333333333	2481.5	1986.5	1153
Br_CDC23_2	CDC23	454	530	378.5	81.5
Br_ACBD5_1	ACBD5	1438	2266	1849.5	790
Br_ZNF524_2	ZNF524	2193.33333333333	2651.5	1969	935
Br_RAB29_2	RAB29	300.666666666667	711.5	880	457
Br_HINT1_4	HINT1	648	787	334	186.5
Br_TTC3_1	TTC3	625.666666666667	1046.5	617.5	223.5
Br_TGFBR2_4	TGFBR2	1098.33333333333	1264.5	590	182.5
Br_BCKDHA_3	BCKDHA	847	817.5	852	431
Br_ZBTB47_3	ZBTB47	786	1291.5	726.5	460
Br_MTRNR2L10_4	MTRNR2L10	574.333333333333	512	435	270
Br_LTB4R2_4	LTB4R2	3126	5113	5314	4297.5
Br_COG5_1	COG5	491.666666666667	712	1035	1888
Br_FAM126A_2	FAM126A	735.666666666667	892.5	328.5	44.5
Br_TRMT10C_4	TRMT10C	566.333333333333	849	613	338.5
Br_NPEPPS_4	NPEPPS	1455.66666666667	1485	1365	546
Br_COQ9_1	COQ9	1041.33333333333	1928.5	1479.5	1104
Br_PRDX4_4	PRDX4	1749.33333333333	2345.5	2073	1031
Br_TDGF1_2	TDGF1	867.666666666667	984	737.5	160.5
Br_FOXD4L5_3	FOXD4L5	710.666666666667	1111	1245.5	618.5
Br_DNAAF5_2	DNAAF5	1715.66666666667	2406.5	2666	2529
Br_BORCS5_2	BORCS5	3290.33333333333	3924.5	2585	1439
Br_NAALAD2_3	NAALAD2	355.666666666667	447	473	226.5
Br_CT55_2	CT55	597	1031.5	851.5	595.5
Br_CDK17_2	CDK17	790.333333333333	1280	2707.5	2507.5
Br_MTHFD1_3	MTHFD1	2301	3513	2203	905
Br_PCOLCE_4	PCOLCE	429.666666666667	664.5	417.5	99.5
Br_RUNDC1_1	RUNDC1	1890.66666666667	2816	2761.5	1992
Br_TGM2_2	TGM2	960.333333333333	1172.5	1067.5	1291
Br_PIN4_1	PIN4	2650.33333333333	2872.5	2041	848.5
Br_ZNF280A_3	ZNF280A	2562.66666666667	4024	3591	2316.5
Br_SNX21_4	SNX21	806.666666666667	1386	1441	967.5
Br_C5orf47_3	C5orf47	2237.66666666667	2928	2756	1592.5
Br_CKAP5_2	CKAP5	1225	495.5	437.5	465.5
Br_ITPRIP_3	ITPRIP	2838.33333333333	4121.5	4497	3712.5
Br_EIF2B2_1	EIF2B2	1208	733	978	1102
Br_TAT_1	TAT	1024.66666666667	2014	2234.5	923
Br_TLCD1_3	TLCD1	685	660	948.5	917.5
Br_DTNA_2	DTNA	973.333333333333	1610.5	1740.5	1391
Br_ATP8B2_3	ATP8B2	1536.33333333333	2181.5	2791	2064
Br_SOAT1_2	SOAT1	1156	1768.5	1738.5	1217
Br_PTPN9_3	PTPN9	1461	1714.5	1853	756.5
Br_TOPBP1_3	TOPBP1	574.666666666667	958	499.5	148.5
Br_TAB1_4	TAB1	1296	1627.5	1230	675.5
Br_JRK_4	JRK	1764.33333333333	1964	2027	1893
Br_EBPL_1	EBPL	3040.66666666667	4708	4099	3312
Br_IDE_1	IDE	1658.66666666667	2165	2018	1436.5
Br_CHRNA5_1	CHRNA5	1969	3537	2957	2027
Br_EGF_1	EGF	544	1446.5	1854.5	1167.5
Br_DMRTC1B_1	DMRTC1B	976.333333333333	1495	1444.5	966
Br_TPM1_4	TPM1	1639	2005	1632	514.5
Br_U2AF1_3	U2AF1	1365.66666666667	463	456.5	215
Br_SLC26A6_1	SLC26A6	623.333333333333	862	610	163.5
Br_DDX49_1	DDX49	137.333333333333	283.5	189.5	39
Br_KLK3_1	KLK3	3389	5239	4248.5	2507.5
Br_USP15_2	USP15	693.333333333333	1165.5	1537.5	1928.5
Br_GNB1_1	GNB1	810	1283.5	970.5	402.5
Br_STYK1_2	STYK1	428.666666666667	393	425	207.5
Br_RNF24_2	RNF24	983	1146.5	1723.5	2370.5
Br_DNAJB7_4	DNAJB7	1351.33333333333	2322.5	1768.5	1049.5
Br_PRICKLE1_4	PRICKLE1	695	957	967	458
Br_NO_CURENT_215_2	NO_CURENT_215	2521.66666666667	4170.5	3849	3017.5
Br_ZC3H8_2	ZC3H8	1929	1527	803.5	285.5
Br_ASTN1_2	ASTN1	1311.33333333333	2366.5	2675	2561.5
Br_DEFA4_2	DEFA4	1511.33333333333	3158.5	3490	2809.5
Br_ADCK1_2	ADCK1	627.666666666667	1147	710.5	372.5
Br_RABEP1_2	RABEP1	2064	2964	3787	3052
Br_CSRP2_4	CSRP2	689	1033.5	974.5	832
Br_NUDT3_1	NUDT3	1284.33333333333	2265.5	3120	2213
Br_GATM_2	GATM	493.666666666667	774	1101.5	1720.5
Br_ATP5B_2	ATP5B	688	1112	654.5	140.5
Br_RNF146_4	RNF146	1362	2174	4025.5	3096.5
Br_C11orf74_4	C11orf74	437.666666666667	980.5	1169.5	714.5
Br_DCAF17_2	DCAF17	830.333333333333	1547.5	1942	1969.5
Br_KCTD21_3	KCTD21	1204.33333333333	1141.5	1224	1127.5
Br_DNAJA3_3	DNAJA3	829.333333333333	776.5	368.5	89
Br_CTCFL_3	CTCFL	1831.33333333333	2678.5	2076	1242.5
Br_POM121C_2	POM121C	2392.33333333333	1364.5	376.5	72.5
Br_LDLRAP1_2	LDLRAP1	429.666666666667	584	370.5	272
Br_IMP3_3	IMP3	1214.66666666667	255.5	113	21
Br_MAP3K14_1	MAP3K14	1286.33333333333	2519	2255	1388.5
Br_POLR2E_4	POLR2E	994	2050.5	2126.5	1323
Br_ZNF585B_1	ZNF585B	2944.33333333333	5602	6009	3686.5
Br_FABP4_1	FABP4	1157.66666666667	2251	2261	2043
Br_TLDC2_3	TLDC2	2899.66666666667	4808	4844	4246
Br_KRR1_3	KRR1	1790.66666666667	778.5	643	531.5
Br_NUP54_4	NUP54	915.666666666667	1607	883.5	331.5
Br_NLRP3_2	NLRP3	786.666666666667	1566	1758.5	1916
Br_RNF217_2	RNF217	569.333333333333	655	878.5	1436.5
Br_NOTCH2_4	NOTCH2	1373	2453	2143.5	1386
Br_CPB1_4	CPB1	504	869.5	1217	983
Br_ACADVL_3	ACADVL	488.666666666667	537.5	208	28.5
Br_GPR182_1	GPR182	987.333333333333	1463.5	1254	688
Br_PIH1D3_4	PIH1D3	1815	2746	3535.5	3104
Br_SMIM24_1	SMIM24	588.666666666667	466.5	299	137
Br_DIAPH2_2	DIAPH2	1142	1763.5	1310.5	1032.5
Br_SYT4_2	SYT4	546.333333333333	786.5	336.5	141
Br_TYW1_3	TYW1	2375.33333333333	4504.5	4246.5	2286
Br_TMEM236_1	TMEM236	234.333333333333	628.5	824.5	279.5
Br_CEP44_2	CEP44	616.666666666667	744	320.5	345
Br_DLG5_2	DLG5	980.333333333333	1789.5	1883	463
Br_OLFM1_4	OLFM1	1592.66666666667	2835.5	3057.5	3515
Br_TBC1D8_3	TBC1D8	1214.66666666667	2023	1416.5	563.5
Br_UGT1A8_1	UGT1A8	666.333333333333	1276	1197	657
Br_SFI1_1	SFI1	1727.33333333333	2159	1582	829.5
Br_ARIH1_1	ARIH1	713.666666666667	485.5	328	360
Br_RTL9_4	RTL9	1237.33333333333	1798.5	1848.5	610
Br_NMS_1	NMS	1927.33333333333	2698.5	2861	1902
Br_ITIH1_2	ITIH1	3432	5404	6858	3294.5
Br_LSM12_1	LSM12	2194.66666666667	2304.5	1281	532.5
Br_POLR3H_1	POLR3H	860	446	330.5	107
Br_APOL2_1	APOL2	280.666666666667	587.5	278.5	80.5
Br_SPATC1L_2	SPATC1L	249.666666666667	215.5	56.5	34.5
Br_CXXC1_3	CXXC1	2152.33333333333	3419.5	2986.5	1042.5
Br_PLEKHH1_2	PLEKHH1	2169.66666666667	2536	2876	4623.5
Br_GSTK1_2	GSTK1	1854.66666666667	2656.5	3279	3225.5
Br_SMYD2_1	SMYD2	639.333333333333	1365	1502.5	844
Br_CAMK2G_3	CAMK2G	309.666666666667	365	351.5	169
Br_MVK_4	MVK	1636	485	146.5	131
Br_FBXO44_1	FBXO44	847	1292	675.5	285.5
Br_LEMD1_1	LEMD1	802	1445	1172.5	647
Br_ZNF583_1	ZNF583	1319.33333333333	2070	1536	801.5
Br_C16orf78_4	C16orf78	1043.33333333333	1944.5	2583	2205.5
Br_SLC17A5_4	SLC17A5	1590	2742	3101	1601.5
Br_TACR3_2	TACR3	597.666666666667	1329.5	977.5	508
Br_BBC3_1	BBC3	768.333333333333	1460.5	1070.5	643
Br_VSIG2_4	VSIG2	1241.66666666667	2513.5	2510	1575.5
Br_STX5_2	STX5	628.333333333333	599.5	311	52.5
Br_STAG3_3	STAG3	620	850.5	729.5	800.5
Br_OR4S2_2	OR4S2	800.333333333333	1102	1041.5	829.5
Br_APTX_1	APTX	565	743	721.5	473.5
Br_OR1I1_3	OR1I1	2565.66666666667	4036.5	3445.5	2563.5
Br_MSANTD2_1	MSANTD2	702.666666666667	2175	2611	2656
Br_EPB41L4A_1	EPB41L4A	1597	2583.5	2796	2552.5
Br_ISPD_3	ISPD	1196.33333333333	1946.5	1565	877.5
Br_LEKR1_3	LEKR1	1920.33333333333	3255.5	3864.5	4353.5
Br_C8orf89_4	C8orf89	782	904	586	220.5
Br_C1orf123_4	C1orf123	997	1076.5	677	268.5
Br_VPREB1_1	VPREB1	1514.33333333333	2009.5	1395	738.5
Br_CCSAP_1	CCSAP	1693.66666666667	2100.5	1618	865.5
Br_ZNF217_4	ZNF217	623.666666666667	1037.5	1718.5	2642.5
Br_UCN3_1	UCN3	1787.66666666667	2770	2406	1244.5
Br_PSMA2_3	PSMA2	577.666666666667	1032.5	863.5	216
Br_NDUFA12_2	NDUFA12	572	1154	499	228
Br_SLC38A7_2	SLC38A7	406.666666666667	374	131.5	30.5
Br_TKTL2_1	TKTL2	2189.66666666667	4039	5507	4079
Br_CIDEC_1	CIDEC	321.333333333333	264	83.5	6
Br_ECM1_1	ECM1	1652	2327.5	1641	399
Br_OR4K14_2	OR4K14	1874.33333333333	4099.5	5306	3667
Br_ARL4D_3	ARL4D	765.666666666667	982.5	930.5	681.5
Br_COL3A1_1	COL3A1	1634.66666666667	2703	3592	4538
Br_MAFG_3	MAFG	2030.33333333333	2154	2017	1082
Br_LRRC71_3	LRRC71	1212.33333333333	1187	700.5	449
Br_ABHD16A_4	ABHD16A	1335.66666666667	2401.5	1270.5	614
Br_DLGAP4_4	DLGAP4	482.666666666667	460	1061	1148
Br_RHOF_1	RHOF	429	617	641.5	852.5
Br_FAM49A_3	FAM49A	1592.33333333333	2081	1824.5	1101.5
Br_KIF1BP_3	KIF1BP	734.333333333333	1050.5	825	638.5
Br_ORAOV1_2	ORAOV1	1156	1069	517	178
Br_CHRNB4_1	CHRNB4	1388	1930.5	1754.5	1572
Br_ATP6V1B1_3	ATP6V1B1	629	1151	952.5	712.5
Br_ATG7_4	ATG7	1026.66666666667	1023.5	762.5	382.5
Br_ITPKC_2	ITPKC	1204	1091	700	399
Br_DAOA_4	DAOA	2161	3010.5	2376.5	1728.5
Br_SLCO1B3_4	SLCO1B3	569.333333333333	1084	690.5	228
Br_HIST1H2BH_3	HIST1H2BH	1051.33333333333	1030.5	1265	2343.5
Br_RPS6KA6_3	RPS6KA6	609.333333333333	1121.5	1630	1773.5
Br_SNRPA1_4	SNRPA1	1.33333333333333	0	0.5	0
Br_GPR55_3	GPR55	1600	3132.5	3180.5	1652
Br_TMEM110_2	TMEM110	347.333333333333	547.5	263.5	40.5
Br_LRRC20_4	LRRC20	623	754.5	275	68.5
Br_RNASEH2A_4	RNASEH2A	1198.66666666667	2827.5	1825.5	571.5
Br_FHOD1_1	FHOD1	497.666666666667	995	733	654.5
Br_ARPC5_1	ARPC5	1214.66666666667	1847	1649.5	821.5
Br_ST3GAL1_4	ST3GAL1	1421.33333333333	2184	2237	2273
Br_KCNU1_2	KCNU1	645.666666666667	646.5	830.5	438
Br_RFWD3_3	RFWD3	1133.66666666667	1709	1086	372
Br_ADGRB1_3	ADGRB1	1365	2070.5	1926	981
Br_MOGS_1	MOGS	617.666666666667	759	450.5	125
Br_TAS2R43_4	TAS2R43	1151	1780	2132.5	2509
Br_STK11_2	STK11	494	587	88	25.5
Br_DDX4_2	DDX4	1185.66666666667	1714	1419.5	412
Br_PRKACA_2	PRKACA	466	954	802.5	591
Br_PCDHA9_1	PCDHA9	587.666666666667	1513	1801	1223
Br_TOPBP1_4	TOPBP1	707.666666666667	368	166.5	13.5
Br_ATP5A1_4	ATP5A1	961.333333333333	1526	1025.5	408
Br_HSF5_4	HSF5	836.333333333333	724.5	247	159
Br_LGSN_2	LGSN	969	1886.5	827	247.5
Br_AFMID_4	AFMID	633	576	333	89.5
Br_ABCG8_2	ABCG8	1016.66666666667	1348.5	2075.5	1451
Br_KIAA1107_3	KIAA1107	1372.66666666667	1802.5	1923.5	1419
Br_ZNF7_3	ZNF7	2456	3883	3090.5	1609.5
Br_TNIP1_1	TNIP1	1114.66666666667	2125	2208	1771
Br_LRP12_2	LRP12	2576.66666666667	4535	3087	1598
Br_GPR1_3	GPR1	2594.66666666667	4752.5	4338.5	3652
Br_ACSBG1_1	ACSBG1	2180.33333333333	3795.5	3518.5	2232.5
Br_TDRKH_3	TDRKH	867.666666666667	1133	866	242.5
Br_ZBED8_4	ZBED8	1832.33333333333	2051	1232	394.5
Br_OLFM3_4	OLFM3	970.333333333333	2095.5	2556.5	1771.5
Br_CARD16_1	CARD16	499.666666666667	612	379.5	173
Br_TMEM64_3	TMEM64	195	328	142.5	26.5
Br_DGKH_2	DGKH	1209	1621	1076.5	486
Br_FGF18_1	FGF18	891.333333333333	1354	1366.5	1247
Br_MAPT_1	MAPT	1224	1830.5	1797.5	385.5
Br_TMED1_2	TMED1	1844	2167	1491.5	888.5
Br_CLP1_2	CLP1	1105.33333333333	1349	543.5	171.5
Br_XPNPEP3_4	XPNPEP3	1264	1972.5	1111	350.5
Br_TMEM110_3	TMEM110	822.666666666667	1516	1367.5	624
Br_FHIT_2	FHIT	1222.66666666667	2360	1994	958
Br_TAS1R1_2	TAS1R1	1664.33333333333	3196.5	3190	1702
Br_CFAP65_1	CFAP65	1306.33333333333	2403	3856.5	7927
Br_DAOA_3	DAOA	1819.33333333333	2849.5	2606.5	1599.5
Br_STRAP_1	STRAP	1540.33333333333	2380.5	958	521
Br_TAF10_1	TAF10	624.333333333333	572	150.5	68.5
Br_ARHGAP24_1	ARHGAP24	2057	3174.5	3000	1386
Br_TSPY2_2	TSPY2	1044.33333333333	2074.5	2045	939
Br_ADAR_4	ADAR	784.333333333333	1210	1651.5	1787
Br_VAT1_3	VAT1	949.333333333333	1311	728.5	331.5
Br_C8orf76_3	C8orf76	1349	2605.5	2058	1251
Br_EIF4E1B_3	EIF4E1B	852	1535.5	1497	1278
Br_PRKCE_3	PRKCE	1373.66666666667	1793	1312	674
Br_PNOC_1	PNOC	2563.66666666667	5140.5	5482	3974.5
Br_AGTPBP1_1	AGTPBP1	1018	1775	1036.5	734.5
Br_NO_CURENT_159_1	NO_CURENT_159	2599.33333333333	5310	5516.5	3773.5
Br_S100B_1	S100B	2167.66666666667	3071.5	1755	1026
Br_RNF135_4	RNF135	1755	2494.5	2469.5	1835.5
Br_ZNRF2_3	ZNRF2	540.333333333333	556.5	519.5	307.5
Br_C5orf64_3	C5orf64	931.666666666667	1794	1547	923
Br_TTC7A_4	TTC7A	1146.33333333333	1895	2792.5	3192
Br_DCAKD_4	DCAKD	1518.66666666667	2369.5	2525.5	2648.5
Br_P3H4_1	P3H4	506.333333333333	644	539.5	168
Br_SRGAP2B_3	SRGAP2B	1682.66666666667	3502	4187.5	1947.5
Br_PIGO_3	PIGO	2783	4055	3140.5	1653.5
Br_KCNH6_1	KCNH6	1229.33333333333	1597	1167.5	517.5
Br_TNS3_3	TNS3	1380	1940	1674.5	981
Br_GRIA2_3	GRIA2	735.666666666667	918.5	709.5	156.5
Br_CCDC155_3	CCDC155	983.666666666667	1250	603.5	329
Br_HIST1H2BN_2	HIST1H2BN	1420.33333333333	184.5	8	13
Br_ZNF582_1	ZNF582	720.666666666667	941.5	529	179
Br_CACNA1G_2	CACNA1G	614.666666666667	711.5	374.5	233.5
Br_ZNF264_4	ZNF264	755.666666666667	1143	837	311
Br_NO_CURENT_245_1	NO_CURENT_245	1861.33333333333	4473.5	5493.5	4483
Br_DENND1B_4	DENND1B	2459.66666666667	3963.5	3628	1841
Br_PRPH2_3	PRPH2	1087.66666666667	1539	1058.5	248.5
Br_ACAA1_1	ACAA1	366.333333333333	765	1645.5	1725
Br_PKP4_3	PKP4	763	1310.5	1444	1738.5
Br_DHX8_1	DHX8	552	343.5	181.5	44
Br_CHRNA10_4	CHRNA10	1690	2910.5	2036.5	2229.5
Br_MSL3_1	MSL3	1172.33333333333	2047	1538.5	1129
Br_EPB41L3_4	EPB41L3	1101.66666666667	1097	899.5	578.5
Br_UNCX_1	UNCX	583.333333333333	1284	747	318
Br_OR5I1_3	OR5I1	561.333333333333	790	736.5	286
Br_KLHL17_1	KLHL17	1207.33333333333	2101	1523.5	1048
Br_C21orf33_4	C21orf33	2759.33333333333	4680.5	3297.5	1588
Br_SLC35F5_1	SLC35F5	479.333333333333	491	208.5	127
Br_TMEM219_1	TMEM219	664	855	730.5	313
Br_C1orf123_1	C1orf123	1256.66666666667	1738.5	1315.5	672.5
Br_FGD6_3	FGD6	1444.33333333333	1980.5	2086	1719.5
Br_IQGAP3_4	IQGAP3	2192.33333333333	2597	1495.5	1263
Br_TDRD6_4	TDRD6	1609.33333333333	2484	2826.5	2397.5
Br_PARD6B_2	PARD6B	223.333333333333	191	115.5	42.5
Br_MGLL_2	MGLL	783.333333333333	1307	1267	1262
Br_ATP2C2_1	ATP2C2	2903	4892	5773	4899
Br_ADAMTS15_3	ADAMTS15	2909	5442	5189.5	4199
Br_WDPCP_4	WDPCP	2880.66666666667	3798.5	3699	2272
Br_ARHGEF10L_1	ARHGEF10L	2311.66666666667	3540.5	3053	1737
Br_HPR_3	HPR	1086.66666666667	1383.5	1148.5	955
Br_KDM6B_4	KDM6B	1068.33333333333	1593	1443.5	850.5
Br_MRGPRD_1	MRGPRD	1106.66666666667	1160.5	1016	759.5
Br_NMBR_3	NMBR	1032.66666666667	1823	1823.5	857.5
Br_KLHL36_2	KLHL36	1719.33333333333	2829	1795	683.5
Br_EFCAB12_3	EFCAB12	848.333333333333	1035	707	353
Br_MMD2_3	MMD2	2838.33333333333	3856	2551.5	1130.5
Br_OR52N1_3	OR52N1	162	142.5	150.5	110
Br_RASD1_2	RASD1	595.333333333333	796.5	1030.5	554
Br_RTN2_2	RTN2	1979.33333333333	3774	4144	2605
Br_P3H4_2	P3H4	757	1728	1877.5	878.5
Br_SAXO2_2	SAXO2	913.333333333333	1282.5	1289	678.5
Br_CCIN_2	CCIN	967.333333333333	1586	1127.5	564.5
Br_CACTIN_2	CACTIN	405	392.5	307	248
Br_PHF6_4	PHF6	1648.33333333333	2213.5	2329.5	1678
Br_MAB21L2_2	MAB21L2	1130	2124.5	1504.5	886.5
Br_ANO5_4	ANO5	1209	1564	1351.5	543
Br_SST_3	SST	525.666666666667	793	1007.5	1403.5
Br_TECTA_4	TECTA	1292.33333333333	2930.5	5169.5	4705
Br_CST5_2	CST5	2458.33333333333	3384	3462.5	2378.5
Br_BMP2K_3	BMP2K	3003.33333333333	6038.5	6243.5	4673.5
Br_CCDC78_4	CCDC78	568.666666666667	854.5	513	66
Br_EIF3L_3	EIF3L	631.666666666667	807	889.5	324.5
Br_DIDO1_2	DIDO1	3270.66666666667	6195.5	7714.5	7135.5
Br_CENPS_1	CENPS	1395.66666666667	2267	2859	2424
Br_FCGR1B_4	FCGR1B	1028	655	507	279.5
Br_RAP2B_1	RAP2B	3162.66666666667	5000	4876	3494
Br_NO_CURENT_84_3	NO_CURENT_84	2838.66666666667	5954	7432.5	3874
Br_GCLM_2	GCLM	1621	1665.5	1989.5	1661
Br_KIDINS220_4	KIDINS220	1717.66666666667	2358.5	1616.5	1673.5
Br_G3BP2_2	G3BP2	1464	3337	4001	2315
Br_ISOC1_3	ISOC1	1237.33333333333	2402	2674	1316
Br_EARS2_1	EARS2	1670.33333333333	1462	486.5	47.5
Br_EPS8_2	EPS8	809	1001	842.5	420.5
Br_OR6F1_4	OR6F1	1976.66666666667	3935	2982.5	1791.5
Br_THEG5_1	THEG5	2249.66666666667	3204	3063.5	1664.5
Br_COPS6_3	COPS6	1526.33333333333	806	172	37
Br_TOPAZ1_2	TOPAZ1	276.333333333333	422.5	598	1356.5
Br_C19orf66_4	C19orf66	896	1365	1103	767.5
Br_OR51G2_4	OR51G2	753.333333333333	1565	1777.5	1936.5
Br_LRGUK_4	LRGUK	1419.33333333333	1910.5	2582	4075
Br_MEPCE_1	MEPCE	626.333333333333	465.5	597.5	834
Br_SIGLEC9_4	SIGLEC9	1037.66666666667	1427	1055.5	734.5
Br_MED30_4	MED30	265.333333333333	101.5	58.5	81
Br_URI1_1	URI1	2712.66666666667	1320.5	732.5	677.5
Br_PPM1L_2	PPM1L	628	1275	1711	1412
Br_COL8A1_1	COL8A1	761.666666666667	625.5	439.5	462
Br_KCNT1_1	KCNT1	621	557.5	362	340.5
Br_GHDC_3	GHDC	1090.66666666667	1334.5	854.5	577.5
Br_TFPT_3	TFPT	1529	1128	539.5	287
Br_LHX3_4	LHX3	1016	1478	1633	1134.5
Br_ACKR4_1	ACKR4	2520.66666666667	4356	3634	1539
Br_HTR2B_1	HTR2B	728	1633.5	1695	1508
Br_FGFR4_2	FGFR4	1524.33333333333	2865.5	2654.5	3208
Br_BTNL8_1	BTNL8	1350	2994.5	3000	2326.5
Br_APOA1_4	APOA1	568	1008.5	1064.5	525
Br_OR2T5_1	OR2T5	1064	1782.5	2429	1670.5
Br_PRAMEF14_1	PRAMEF14	1227.66666666667	2509	2561.5	1221
Br_BRINP2_4	BRINP2	942.333333333333	1706	1310	926.5
Br_ARHGEF9_4	ARHGEF9	1580.33333333333	2265.5	2189	1074.5
Br_CELA3A_1	CELA3A	425	589	441	227.5
Br_SMAD5_2	SMAD5	607	1790.5	1907.5	1213
Br_CCSAP_2	CCSAP	2092.66666666667	3122.5	3344.5	2568
Br_FAM173A_3	FAM173A	502.666666666667	804.5	937	976.5
Br_NOS2_1	NOS2	1480.66666666667	2104.5	1565.5	1164
Br_RDH13_2	RDH13	1718.66666666667	1708.5	1373.5	1495.5
Br_MPV17L_2	MPV17L	1707.33333333333	2646	2587.5	3517.5
Br_RAB4B_4	RAB4B	839	1271	1044.5	426.5
Br_ZNF674_1	ZNF674	520	736.5	501.5	285.5
Br_PIAS4_1	PIAS4	3913.66666666667	3381	1638	496
Br_PI4K2A_3	PI4K2A	2271	3161	3569	3836.5
Br_CMTM4_2	CMTM4	2050.33333333333	2911	2807.5	1865.5
Br_GEMIN4_2	GEMIN4	1339.33333333333	1360.5	810.5	337.5
Br_CELF4_4	CELF4	564.333333333333	1636.5	2005.5	964
Br_ZBED6CL_1	ZBED6CL	1647.66666666667	2942.5	2875.5	2000
Br_SHPRH_1	SHPRH	415	429	562.5	310
Br_NPTX2_1	NPTX2	1292.66666666667	2545.5	2856.5	1794
Br_PRR35_2	PRR35	1828.66666666667	2111	2239	1531
Br_RIC8A_3	RIC8A	344.333333333333	411.5	163	10
